word_start,word_end
18.74,18.90
18.90,19.17
19.17,19.37
19.37,19.81
19.81,20.02
20.02,20.55
20.55,20.97
20.97,21.11
21.11,21.22
21.22,21.57
21.57,21.74
21.74,22.91
23.53,23.71
23.71,24.15
24.15,24.57
24.57,24.80
24.80,25.24
25.24,25.74
25.89,26.08
26.08,26.52
26.52,26.84
26.84,27.11
27.11,27.76
28.18,28.35
28.35,28.68
28.68,28.98
28.98,29.21
29.21,29.37
29.37,30.14
30.53,30.70
30.70,30.84
30.84,31.69
31.69,32.36
32.90,33.23
33.23,33.67
33.67,33.95
33.95,34.11
34.11,34.69
34.69,34.85
34.85,35.11
35.11,35.60
35.60,36.00
36.00,36.22
36.22,36.47
36.47,37.61
37.96,38.43
38.43,38.89
38.89,39.04
39.04,39.84
40.22,40.33
40.33,40.73
40.73,40.91
40.91,41.31
41.31,41.96
42.10,42.24
42.24,42.37
42.37,43.03
43.03,43.14
43.14,43.61
43.61,43.73
43.73,44.49
44.72,44.93
44.93,45.09
45.09,45.51
45.51,45.81
45.81,46.06
46.06,46.76
47.19,47.30
47.30,47.85
47.85,48.30
48.30,48.48
48.48,49.06
49.06,49.24
49.24,49.46
49.69,50.02
50.02,50.43
50.43,50.70
50.70,51.46
51.99,52.10
52.10,52.60
52.60,53.22
53.22,53.57
53.57,53.82
53.82,54.12
54.12,54.54
54.54,55.05
55.05,55.56
55.56,57.27
59.20,63.74
63.74,64.48
68.67,73.25
73.25,74.29
76.79,77.04
77.04,77.51
77.51,77.76
77.76,78.50
78.50,79.12
82.92,83.09
83.09,83.50
83.50,83.95
83.95,84.19
84.19,84.72
84.72,85.22
85.22,85.44
85.44,86.26
86.26,87.19
87.73,87.89
87.89,88.81
88.81,88.92
88.92,89.47
89.47,89.91
89.91,90.07
90.07,90.76
90.76,91.16
91.16,91.74
91.74,91.88
91.88,92.18
92.18,92.46
92.46,92.99
92.99,93.20
93.20,93.34
93.34,94.25
94.62,94.77
94.77,95.34
95.34,95.43
95.43,95.64
95.64,95.94
95.94,96.48
96.48,96.64
96.64,96.93
96.93,97.31
97.31,97.80
97.80,98.03
98.03,98.23
98.23,98.75
99.15,99.26
99.26,99.54
99.54,100.08
100.08,100.24
100.24,100.49
100.49,100.70
100.70,101.70
101.70,101.84
101.84,102.05
102.05,102.46
102.46,103.00
103.00,103.13
103.13,103.44
103.44,103.60
103.60,104.11
104.37,104.50
104.50,105.00
105.00,105.22
105.22,105.37
105.37,106.44
106.44,106.60
106.60,106.85
106.85,107.32
107.32,107.69
107.69,108.34
108.34,108.55
108.55,108.78
108.78,109.06
109.27,109.77
109.77,110.06
110.06,110.33
110.33,111.08
111.08,111.27
111.27,111.47
111.47,111.95
111.95,112.20
112.20,112.34
112.34,112.45
112.45,113.23
113.69,113.82
113.82,114.05
114.05,114.40
114.40,114.72
114.72,115.21
116.28,116.44
116.44,116.92
116.92,117.21
117.21,117.51
117.51,117.91
117.91,118.39
118.63,118.74
118.74,119.35
119.35,119.63
119.63,122.31
123.40,128.00
128.00,129.28
132.85,137.50
137.50,139.50
140.92,141.12
141.12,141.66
141.66,141.94
141.94,142.72
142.72,143.82
165.55,165.76
165.76,165.97
165.97,166.53
166.53,166.76
166.76,166.97
166.97,167.14
167.14,167.81
167.81,168.26
168.46,168.58
168.58,168.97
168.97,169.25
169.25,169.43
169.43,170.36
170.59,170.73
170.73,170.96
170.96,171.64
171.64,171.92
171.92,172.68
172.96,173.10
173.10,173.24
173.24,173.66
173.66,173.94
173.94,174.12
174.12,174.25
174.25,174.98
174.98,175.14
175.14,175.37
175.37,175.60
175.60,176.17
176.17,176.55
176.55,177.27
177.77,177.89
177.89,178.05
178.05,178.38
178.38,178.63
178.63,178.91
178.91,179.58
180.05,180.14
180.14,180.88
180.88,181.16
181.16,181.45
181.45,182.32
182.32,182.75
182.75,183.20
183.20,183.50
183.50,184.56
184.56,185.76
187.20,191.80
191.80,193.17
196.69,201.15
201.15,202.03
205.91,210.39
210.39,211.62
213.90,214.18
214.18,214.73
214.73,215.01
215.01,216.08
216.08,216.84
218.82,219.06
219.06,219.54
219.54,219.84
219.84,221.23
221.23,222.09
