word_start,word_end
14.30,14.84
14.84,15.08
15.08,15.36
15.36,17.28
17.86,18.37
18.37,18.61
18.61,18.81
18.81,19.25
19.25,19.69
19.69,21.24
21.43,21.92
21.92,22.17
22.17,22.41
22.41,23.28
25.03,25.47
25.47,25.69
25.69,25.85
25.85,26.31
26.31,26.79
26.79,27.21
27.21,27.45
27.45,27.65
27.65,28.18
28.56,28.98
28.98,29.24
29.24,29.44
29.44,31.89
32.09,32.53
32.53,32.80
32.80,32.99
32.99,33.39
33.39,33.85
33.85,35.30
35.57,36.06
36.06,36.32
36.32,36.57
36.57,37.45
39.22,39.66
39.66,39.89
39.89,40.04
40.04,40.49
40.49,40.96
40.96,41.42
41.42,41.61
41.61,41.83
41.83,42.33
42.79,43.19
43.19,43.43
43.43,43.65
43.65,45.95
46.30,46.76
46.76,47.01
47.01,47.23
47.23,47.62
47.62,48.04
48.04,49.47
49.85,50.29
50.29,50.54
50.54,50.78
50.78,51.67
53.43,53.87
53.87,54.12
54.12,54.26
54.26,54.73
54.73,55.19
55.19,55.66
55.66,55.84
55.84,56.03
56.03,56.62
57.75,58.19
58.19,58.37
58.37,58.86
59.02,59.14
59.14,59.29
59.29,59.70
59.89,60.03
60.02,60.17
60.17,60.56
60.56,61.35
61.35,62.16
62.16,62.56
62.56,63.49
63.95,64.11
64.11,64.58
64.58,65.69
65.69,65.99
65.99,66.31
66.31,67.10
67.47,67.68
67.68,68.01
68.01,68.36
68.36,69.26
69.26,69.60
69.60,70.35
70.35,70.92
71.70,72.15
72.15,73.49
73.49,73.65
73.65,75.23
75.23,75.69
75.69,76.47
76.47,78.32
78.82,79.25
79.25,79.69
79.69,82.09
82.33,82.71
82.71,85.35
85.40,85.87
85.87,86.12
86.12,86.35
86.35,88.66
88.95,89.39
89.39,89.62
89.62,89.86
89.86,90.28
90.28,90.72
90.72,92.19
92.48,92.97
92.97,93.23
93.23,93.43
93.43,94.34
96.10,96.54
96.54,96.79
96.79,96.96
96.96,97.46
97.46,97.88
97.88,98.30
98.30,98.47
98.47,98.68
98.68,99.23
99.66,100.10
100.10,100.37
100.37,100.58
100.58,102.88
103.19,103.67
103.67,103.91
103.91,104.11
104.11,104.51
104.51,104.97
104.97,106.33
106.74,107.20
107.20,107.46
107.46,107.69
107.69,108.55
110.34,110.80
110.80,111.01
111.01,111.16
111.16,111.61
111.61,112.08
112.08,112.52
112.52,112.74
112.74,112.96
112.96,113.54
114.14,114.23
114.23,115.21
115.50,115.86
115.86,116.61
116.61,116.81
116.81,117.00
117.00,117.47
117.47,117.93
118.16,118.53
118.53,118.74
118.74,119.45
119.45,120.64
120.81,121.02
121.02,121.90
121.90,122.08
122.08,122.57
122.57,122.97
122.97,123.55
123.55,124.08
124.31,124.53
124.53,124.73
124.73,125.45
125.66,126.10
126.10,126.54
126.54,126.92
126.92,127.87
128.67,129.10
129.10,129.28
129.28,130.41
130.41,132.20
132.20,132.56
132.56,133.49
133.49,133.90
133.90,134.14
134.14,135.27
135.69,136.11
136.11,136.60
136.60,137.39
137.39,139.22
139.22,139.57
139.57,142.73
143.33,143.70
143.70,143.94
143.94,144.17
144.17,146.46
146.79,147.23
147.23,147.49
147.49,147.67
147.67,148.09
148.09,148.56
148.56,149.97
150.32,150.74
150.74,151.03
151.03,151.25
151.25,152.14
153.87,154.31
154.31,154.57
154.57,154.72
154.72,155.23
155.23,155.65
155.65,156.09
156.09,156.31
156.31,156.52
156.52,157.07
157.43,157.87
157.87,158.11
158.11,158.35
158.35,160.53
160.98,161.47
161.47,161.69
161.69,161.91
161.91,162.30
162.30,162.79
162.79,164.20
164.53,164.99
164.99,165.24
165.24,165.46
165.46,166.39
168.13,168.57
168.57,168.80
168.80,168.94
168.94,169.43
169.43,169.87
169.87,170.33
170.33,170.56
170.56,170.76
170.76,171.23
200.13,200.54
200.54,200.81
200.81,201.03
201.03,203.25
203.63,204.10
204.10,204.36
204.36,204.58
204.58,204.98
204.98,205.44
205.44,206.91
207.23,207.69
207.69,207.93
207.93,208.17
208.17,209.08
210.78,211.25
211.25,211.48
211.48,211.62
211.62,212.11
212.11,212.57
212.57,212.97
212.97,213.20
213.20,213.41
213.41,213.96
214.36,214.78
214.78,215.05
215.05,215.26
215.26,217.35
217.86,218.35
218.35,218.60
218.60,218.82
218.82,219.23
219.23,219.70
219.70,221.05
221.44,221.88
221.88,222.14
222.14,222.36
222.36,223.25
224.99,225.46
225.46,225.71
225.71,225.85
225.85,226.29
226.29,226.76
226.76,227.20
227.20,227.42
227.42,227.62
227.62,228.13
