word_start,word_end
7.89,8.19
8.19,8.33
8.33,8.92
8.92,9.17
9.17,9.40
9.40,9.68
9.68,10.45
10.45,10.68
10.68,11.30
11.93,12.14
12.14,12.38
12.38,12.67
12.67,12.78
12.78,13.70
13.70,14.46
14.46,14.67
14.67,15.73
15.90,16.42
16.42,16.72
16.72,16.86
16.86,17.19
17.19,17.44
17.44,17.65
17.65,18.18
18.18,18.46
18.46,18.57
18.57,19.27
19.46,19.69
19.69,20.18
20.18,20.90
23.92,24.68
24.68,24.92
24.92,25.40
25.40,25.68
25.68,26.20
26.20,26.43
26.43,26.68
26.68,27.42
27.89,28.69
28.69,28.93
28.93,29.42
29.42,30.17
30.17,30.44
30.44,30.62
30.62,31.22
31.22,31.43
31.95,32.18
32.18,32.36
32.36,32.67
32.67,32.92
32.92,33.43
33.43,34.21
34.21,34.46
34.46,34.53
34.53,35.06
35.46,35.72
35.72,36.17
36.17,37.00
38.82,39.19
39.19,39.38
39.38,39.68
39.68,39.94
39.94,40.33
40.33,40.93
40.93,41.42
41.42,41.68
41.68,42.38
42.38,42.95
42.95,43.44
43.44,43.70
43.70,43.93
43.93,44.43
44.43,44.93
44.93,45.37
45.44,45.93
45.93,47.39
47.39,48.16
48.46,48.90
48.90,49.41
49.41,49.96
49.96,50.90
50.90,52.04
54.94,55.42
55.42,55.68
55.68,55.93
55.93,56.40
56.40,56.93
56.93,57.44
57.44,57.70
57.70,57.91
57.91,58.42
58.42,59.42
59.42,59.70
59.70,59.93
59.93,60.93
60.93,61.33
61.44,61.95
61.95,62.47
62.47,62.71
62.71,63.61
63.92,64.41
64.41,64.83
64.83,65.43
65.43,65.66
65.66,66.20
66.20,67.18
79.80,80.43
80.43,80.94
80.94,81.43
81.43,81.67
81.67,82.10
82.10,82.45
82.45,82.68
82.68,83.47
83.83,84.70
84.70,85.67
85.67,86.19
86.19,86.44
86.44,86.70
86.70,87.93
87.93,88.40
88.40,88.70
88.70,88.86
88.86,89.18
89.18,89.41
89.41,89.62
89.62,90.18
90.18,90.41
90.41,90.57
90.57,91.21
91.44,91.69
91.69,92.16
92.16,92.86
95.89,96.42
96.42,96.68
96.68,96.92
96.92,97.22
97.22,97.45
97.45,97.66
97.66,98.60
98.60,99.18
99.93,100.47
100.47,100.90
100.90,101.44
101.44,101.68
101.68,102.19
102.19,102.42
102.42,102.67
102.67,102.96
102.96,103.72
103.95,104.18
104.18,104.34
104.34,104.65
104.65,104.90
104.90,105.42
105.42,106.20
106.20,106.41
106.41,106.52
106.52,107.17
107.43,107.72
107.72,108.06
108.18,108.95
110.83,111.19
111.19,111.38
111.38,111.68
111.68,111.94
111.94,112.33
112.33,112.93
112.93,113.42
113.42,113.68
113.68,114.33
114.33,114.95
114.95,115.44
115.44,115.70
115.70,115.93
115.93,116.43
116.43,116.93
116.93,117.37
117.44,117.93
117.93,119.39
119.39,120.16
120.46,120.90
120.90,121.41
121.41,121.96
121.96,122.90
122.90,124.04
126.94,127.42
127.42,127.68
127.68,127.93
127.93,128.40
128.40,128.93
128.93,129.44
129.44,129.70
129.70,129.91
129.91,130.42
130.42,131.42
131.42,131.70
131.70,131.93
131.93,132.93
132.93,133.33
133.44,133.95
133.95,134.47
134.47,134.71
134.71,135.61
135.92,136.41
136.41,136.83
136.83,137.43
137.43,137.66
137.66,138.20
138.20,139.18
175.77,176.91
176.91,177.26
177.26,177.54
177.54,178.16
178.16,178.77
178.93,179.44
179.44,180.11
180.72,181.67
181.67,183.04
183.91,184.42
184.42,184.92
184.92,185.45
185.45,185.94
185.94,186.67
186.67,187.04
187.04,187.91
188.40,189.47
190.86,191.18
191.18,191.39
191.39,191.69
191.69,191.95
191.95,192.35
192.35,192.95
192.95,193.44
193.44,193.70
193.70,194.34
194.34,194.97
194.97,195.46
195.46,195.71
195.71,195.95
195.95,196.45
196.45,196.95
196.95,197.39
197.46,197.92
197.92,199.41
199.41,200.18
200.48,200.92
200.92,201.43
201.43,201.92
201.92,202.90
202.90,204.04
206.96,207.44
207.44,207.70
207.70,207.95
207.95,208.42
208.42,208.95
208.95,209.46
209.46,209.72
209.72,209.93
209.93,210.44
210.44,211.44
211.44,211.72
211.72,211.95
211.95,212.95
212.95,213.35
213.46,213.97
213.97,214.49
214.49,214.84
214.84,215.60
215.94,216.43
216.43,216.85
216.85,217.44
217.44,217.67
217.67,218.22
218.22,219.20
