word_start,word_end
18.71,18.99
18.99,19.24
19.24,19.53
19.53,19.85
19.85,20.43
20.43,21.20
21.20,22.07
22.07,22.29
22.29,22.45
22.45,23.80
27.44,27.70
27.70,27.96
27.96,28.23
28.23,28.59
28.59,29.08
29.08,29.91
29.91,30.08
30.08,30.59
30.59,31.11
31.11,32.55
33.43,33.71
33.71,34.04
34.04,35.75
36.41,36.89
36.89,37.22
37.22,37.54
37.54,37.83
37.83,38.90
39.20,39.75
39.75,39.87
39.87,40.61
40.61,41.01
41.01,42.04
42.04,43.59
45.11,45.62
45.62,45.93
45.93,46.27
46.27,46.52
46.52,47.32
47.32,48.41
48.41,48.52
48.52,49.84
49.84,50.70
50.70,53.12
53.52,54.52
54.52,55.49
55.49,55.87
55.87,56.40
56.40,57.33
57.81,58.19
58.19,58.52
58.52,59.49
59.49,59.83
59.83,60.37
60.37,60.77
60.77,61.64
62.23,63.27
63.27,63.64
63.64,64.11
64.11,66.43
67.08,67.38
67.38,67.64
67.64,68.03
68.03,68.36
68.36,68.90
68.90,70.49
70.96,71.98
71.98,72.95
72.95,73.34
73.34,73.87
73.87,74.82
75.30,75.65
75.65,76.00
76.00,76.97
76.97,77.30
77.30,77.81
77.81,78.23
78.23,79.05
79.65,80.81
80.81,81.11
81.11,81.57
81.57,84.07
84.59,84.86
84.86,85.03
85.03,85.45
85.45,85.92
85.92,87.65
88.84,89.23
89.23,89.42
89.42,89.87
89.87,90.28
90.28,91.58
91.58,92.54
101.74,101.97
101.97,102.53
102.53,102.86
102.86,103.41
103.41,104.21
104.21,104.72
104.72,105.03
105.03,105.56
105.56,106.84
110.48,110.73
110.73,111.06
111.06,111.54
111.54,112.12
112.12,112.68
112.68,112.98
112.98,113.22
113.22,113.77
113.77,114.29
114.29,114.80
114.80,115.61
116.44,116.72
116.72,117.04
117.04,118.74
119.41,119.92
119.92,120.23
120.23,120.55
120.55,120.81
120.81,121.91
122.21,122.76
122.76,122.89
122.89,123.62
123.62,124.04
124.04,125.06
125.06,126.58
128.12,128.65
128.65,128.97
128.97,129.31
129.31,129.52
129.52,130.33
130.33,131.44
131.44,131.55
131.55,132.83
132.83,133.72
133.72,136.06
136.50,137.55
137.55,138.45
138.45,138.84
138.84,139.38
139.38,140.31
140.80,141.15
141.15,141.46
141.46,142.47
142.47,142.82
142.82,143.35
143.35,143.78
143.78,144.53
145.14,146.29
146.29,146.65
146.65,147.09
147.09,149.42
150.06,150.37
150.37,150.62
150.62,150.99
150.99,151.36
151.36,151.89
151.89,153.42
153.92,154.91
154.91,155.91
155.91,156.34
156.34,156.87
156.87,157.79
158.28,158.63
158.63,158.97
158.97,159.95
159.95,160.28
160.28,160.79
160.79,161.22
161.22,162.01
162.67,163.81
163.81,164.11
164.11,164.55
164.55,167.09
167.59,167.85
167.85,168.08
168.08,168.43
168.43,168.88
168.88,170.85
171.85,172.21
172.21,172.45
172.45,172.82
172.82,173.31
173.31,174.56
174.56,175.65
180.47,180.87
180.87,181.13
181.13,181.48
181.48,181.94
181.94,182.91
182.91,184.27
189.06,189.47
189.47,189.70
189.70,190.05
190.05,190.52
190.52,191.45
191.45,192.91
197.59,197.92
197.92,198.15
198.15,198.45
198.45,198.95
198.95,199.87
199.87,201.50
209.62,210.62
210.62,211.50
211.50,211.86
211.86,212.42
212.42,213.36
213.78,214.10
214.10,214.47
214.47,215.35
215.35,215.68
215.68,216.21
216.21,216.60
216.60,217.32
217.97,219.00
219.00,219.33
219.33,219.78
219.78,222.17
222.63,222.92
222.92,223.18
223.18,223.50
223.50,223.85
223.85,224.42
224.42,225.77
226.31,227.27
227.27,228.29
228.29,228.63
228.63,229.16
229.16,230.10
230.49,230.82
230.82,231.18
231.18,232.05
232.05,232.40
232.40,232.91
232.91,233.31
233.31,234.20
234.71,235.69
235.69,236.07
236.07,236.42
236.42,238.60
239.33,239.67
239.67,239.90
239.90,240.27
240.27,240.69
240.69,241.86
241.86,243.59
247.67,248.00
248.00,248.28
248.28,248.58
248.58,249.02
249.02,250.20
250.20,251.18
256.03,256.36
256.36,256.59
256.59,256.94
256.94,257.37
257.37,258.54
258.54,259.32
