word_start,word_end
2.11,2.35
2.35,2.51
2.51,3.13
3.13,3.79
5.25,5.72
5.72,6.75
8.50,8.74
8.74,8.94
8.94,9.08
9.08,9.50
9.50,9.71
9.71,10.30
11.68,11.88
11.88,12.14
12.14,13.04
13.28,13.41
13.41,13.91
13.91,14.30
14.30,14.46
14.46,14.93
14.93,15.28
15.28,16.19
16.47,16.72
16.72,17.09
17.09,17.36
17.36,17.55
17.55,17.63
17.63,18.13
18.13,18.54
18.54,19.13
19.73,19.92
19.92,20.11
20.11,20.27
20.27,20.52
20.52,20.71
20.71,20.92
20.92,21.34
21.34,21.71
21.71,22.63
24.47,24.70
24.70,24.96
24.96,25.12
25.12,25.60
25.60,25.75
25.75,26.19
26.74,27.14
27.14,27.29
27.29,29.53
29.53,29.91
29.91,30.45
30.45,31.09
31.09,31.53
31.53,31.76
31.76,32.04
32.04,33.00
33.15,33.57
33.57,33.79
33.79,35.90
35.90,36.19
36.19,36.53
36.53,36.92
36.92,37.73
37.73,38.15
38.15,38.52
38.52,39.41
39.55,39.91
39.91,40.11
40.11,40.52
40.52,40.70
40.70,40.91
40.91,41.00
41.00,41.49
41.49,41.91
41.91,43.15
43.70,43.95
43.95,44.11
44.11,44.30
44.30,44.73
44.73,44.90
44.90,45.30
45.30,46.23
46.00,46.35
46.35,46.56
46.56,51.46
52.34,52.73
52.73,52.82
52.82,53.58
64.54,64.73
64.73,64.90
64.90,65.54
65.54,66.32
67.67,67.94
67.94,68.10
68.10,68.31
68.31,68.55
68.55,68.94
68.94,69.77
70.93,71.14
71.14,71.54
71.54,71.75
71.75,72.03
72.03,72.85
74.07,74.32
74.32,74.53
74.53,74.72
74.72,75.06
75.06,75.34
75.34,75.87
75.87,76.77
78.88,78.99
78.99,79.50
79.50,79.92
79.92,80.08
80.08,80.50
80.50,80.87
80.87,81.79
82.08,82.31
82.31,82.68
82.68,82.94
82.94,83.15
83.15,83.26
83.26,83.73
83.73,84.13
84.13,84.74
85.29,85.54
85.54,85.70
85.70,85.86
85.86,86.11
86.11,86.28
86.28,86.51
86.51,86.91
86.91,87.30
87.30,88.17
92.32,92.71
92.71,92.89
92.89,95.17
95.17,95.50
95.50,96.04
96.04,96.68
96.68,97.12
97.12,97.38
97.38,97.63
97.63,98.60
98.71,99.14
99.14,99.36
99.36,101.49
101.49,101.76
101.76,102.14
102.14,102.51
102.51,103.32
103.32,103.72
103.72,104.11
104.11,105.01
105.16,105.55
105.55,105.71
105.71,106.13
106.13,106.29
106.29,106.50
106.50,106.60
106.60,107.08
107.08,107.50
107.50,108.79
109.29,109.54
109.54,109.71
109.71,109.92
109.92,110.33
110.33,110.50
110.50,110.90
110.90,111.61
111.61,111.96
111.96,112.14
112.14,117.54
117.91,118.32
118.32,118.43
118.43,119.24
