word_start,word_end
22.20,22.36
22.36,22.68
22.68,22.87
22.87,23.38
23.38,23.80
23.80,24.19
24.19,24.38
24.38,24.57
24.57,25.46
25.74,26.69
26.69,27.45
27.45,27.61
27.61,28.61
30.22,30.37
30.37,30.69
30.69,30.86
30.86,31.39
31.39,31.78
31.78,32.39
32.39,32.69
32.69,33.55
33.92,34.90
34.90,35.33
35.33,35.71
35.71,36.65
42.23,42.42
42.42,42.72
42.72,42.91
42.91,43.23
43.23,43.42
43.42,43.72
43.72,43.90
43.90,44.65
44.65,45.21
45.21,45.43
45.44,45.72
45.72,45.90
45.90,46.34
46.34,46.74
46.74,46.92
46.92,47.69
47.69,48.56
49.71,49.90
49.90,50.20
50.20,50.73
50.73,50.89
50.89,51.23
51.23,51.92
51.92,52.70
52.70,53.22
53.22,53.40
53.40,53.52
53.52,54.40
54.40,54.83
54.83,55.21
55.21,55.42
55.42,55.71
55.71,56.90
62.24,62.76
62.76,62.90
62.90,63.22
63.22,63.43
63.43,63.73
63.73,63.90
63.90,64.17
64.17,64.45
64.45,64.66
64.66,65.66
65.73,65.89
65.89,66.19
66.19,66.36
66.36,66.91
66.91,67.28
67.28,67.68
67.68,68.92
69.72,69.91
69.91,70.22
70.22,70.40
70.40,70.54
70.54,71.40
71.40,71.65
71.65,71.80
71.80,72.14
72.14,72.36
72.36,72.65
72.65,73.59
73.72,73.90
73.90,74.20
74.20,74.39
74.39,74.89
74.89,75.18
75.18,75.37
75.37,77.15
81.89,82.38
82.38,82.73
82.73,82.86
82.86,83.32
83.32,83.68
83.68,83.86
83.86,84.72
84.72,85.34
85.67,85.85
85.85,86.18
86.18,86.40
86.40,86.72
86.72,86.86
86.86,87.18
87.18,87.39
87.39,88.44
89.67,89.88
89.88,90.20
90.20,90.36
90.36,90.71
90.71,90.90
90.90,91.41
91.41,91.69
91.69,91.92
91.92,92.59
92.59,93.51
93.70,94.45
94.45,94.73
94.73,94.95
94.95,95.40
95.40,95.70
95.70,96.52
101.72,101.90
101.90,102.37
102.37,102.69
102.69,102.88
102.88,103.41
103.41,103.69
103.69,103.90
103.90,104.71
104.71,105.27
105.71,105.90
105.90,106.43
106.43,106.94
106.94,107.21
107.21,107.65
107.65,108.31
109.73,109.89
109.89,110.40
110.40,110.71
110.71,110.91
110.91,111.39
111.39,111.70
111.70,111.79
111.79,112.24
112.24,112.47
112.47,113.52
113.75,113.87
113.87,114.26
114.26,114.46
114.46,114.74
114.74,114.90
114.90,115.44
115.44,115.95
115.95,116.53
117.24,117.38
117.38,117.59
117.59,118.23
118.23,118.41
118.41,118.74
118.74,118.89
118.89,119.43
119.43,119.90
119.90,120.63
122.17,122.73
122.73,122.87
122.87,123.19
123.19,123.38
123.38,123.68
123.68,123.89
123.89,124.15
124.15,124.43
124.43,124.66
124.66,125.50
125.68,125.89
125.89,126.21
126.21,126.40
126.40,126.91
126.91,127.21
127.21,127.72
127.72,128.70
129.72,129.93
129.93,130.39
130.39,130.68
130.68,131.20
131.20,131.67
131.67,131.79
131.79,132.16
132.16,132.38
132.38,132.64
132.64,133.52
133.71,133.90
133.90,134.18
134.18,134.36
134.36,134.92
134.92,135.20
135.20,135.36
135.36,137.28
158.22,158.74
158.74,158.88
158.88,159.18
159.18,159.37
159.37,159.69
159.69,159.88
159.88,160.16
160.16,160.44
160.44,160.64
160.64,161.64
161.71,161.90
161.90,162.20
162.20,162.39
162.39,162.90
162.90,163.32
163.32,163.71
163.71,164.88
165.68,165.89
165.89,166.38
166.38,166.70
166.70,167.22
167.22,167.68
167.68,167.78
167.78,168.17
168.17,168.39
168.39,168.63
168.63,169.58
169.70,169.89
169.89,170.19
170.19,170.40
170.40,170.91
170.91,171.21
171.21,171.40
171.40,173.26
174.19,174.72
174.72,174.85
174.85,175.23
175.23,175.42
175.42,175.69
175.69,175.88
175.88,176.14
176.14,176.44
176.44,176.66
176.66,177.47
177.69,177.90
177.90,178.20
178.20,178.38
178.38,178.92
178.92,179.22
179.22,179.73
179.73,180.73
181.73,181.94
181.94,182.38
182.38,182.69
182.69,183.24
183.24,183.71
183.71,183.81
183.81,184.16
184.16,184.38
184.38,184.63
184.63,185.53
185.70,185.91
185.91,186.18
186.18,186.37
186.37,186.88
186.88,187.25
187.25,187.39
187.39,189.13
