word_start,word_end
5.18,5.48
5.48,5.70
5.70,6.08
6.08,6.36
6.36,6.57
6.57,8.13
13.80,14.16
14.16,14.63
14.63,14.94
14.94,15.24
15.24,15.50
15.50,15.76
15.76,16.04
16.04,16.35
16.35,16.97
16.97,17.16
17.16,18.96
20.66,20.99
20.99,21.55
21.55,21.82
21.82,22.10
22.10,22.38
22.38,22.74
22.74,23.03
23.03,23.26
23.26,23.80
23.80,24.03
24.03,25.85
27.07,27.30
27.30,27.53
27.53,27.89
27.89,28.30
28.30,28.72
28.72,29.14
29.14,29.59
29.59,29.99
29.99,30.32
30.32,30.58
30.58,30.86
30.86,32.52
33.25,33.48
33.48,33.83
33.83,34.32
34.32,34.69
34.69,35.12
35.12,35.55
35.55,35.98
35.98,36.42
36.42,36.89
36.89,37.17
37.17,37.50
37.50,37.73
37.73,38.85
39.45,39.66
39.66,39.89
39.89,40.26
40.26,40.58
40.58,40.78
40.78,42.44
42.91,43.14
43.14,43.30
43.30,43.56
43.56,43.69
43.69,44.02
44.02,44.21
44.21,44.72
44.72,45.69
46.27,46.53
46.53,46.76
46.76,47.20
47.20,47.46
47.46,47.60
47.60,47.81
47.81,47.99
47.99,49.48
49.76,49.97
49.97,50.17
50.17,50.59
50.59,51.02
51.02,51.33
51.33,51.57
51.57,52.37
52.96,53.14
53.14,53.60
53.60,53.96
53.96,54.28
54.28,54.61
54.61,55.18
55.18,55.48
55.48,56.13
56.13,56.44
56.44,57.01
57.01,57.27
57.27,57.81
57.81,58.10
58.10,58.30
58.30,58.93
58.93,59.22
59.22,59.80
60.02,60.27
60.27,60.46
60.46,60.88
60.88,61.18
61.18,61.41
61.41,62.95
63.45,63.71
63.71,63.87
63.87,64.08
64.08,64.24
64.24,64.57
64.57,64.75
64.75,65.30
65.30,66.58
66.87,67.15
67.15,67.31
67.31,67.53
67.53,67.67
67.67,68.07
68.07,68.95
73.86,74.11
74.11,74.71
74.71,74.97
74.97,76.41
81.94,82.39
82.75,82.98
82.98,83.10
83.10,83.45
83.45,83.66
83.66,83.79
83.79,84.00
84.28,84.42
84.42,84.68
84.68,84.84
84.84,85.21
85.21,85.54
85.72,85.91
85.91,86.07
86.07,86.39
86.39,86.60
86.60,86.80
86.80,86.95
86.95,87.11
87.11,87.23
87.23,87.45
87.45,87.80
87.86,88.11
88.11,88.30
88.30,88.51
88.51,88.62
88.62,88.87
88.87,88.97
88.97,89.13
89.13,89.46
89.60,89.81
89.81,89.95
89.95,90.29
90.29,90.54
90.54,90.69
90.69,91.13
91.30,91.49
91.49,91.71
91.71,91.92
91.92,92.04
92.04,92.41
92.55,92.79
92.79,93.14
93.14,93.24
93.24,93.39
93.39,93.78
93.78,94.08
94.08,94.31
94.31,94.45
94.45,94.59
94.59,94.84
94.84,94.96
94.96,95.10
95.10,95.33
95.33,95.44
95.44,95.80
95.80,96.19
96.82,97.03
97.03,97.18
97.18,97.28
97.28,97.45
97.45,97.61
97.61,97.72
97.72,97.91
97.91,98.05
98.05,98.17
98.17,98.33
98.33,98.44
98.44,98.56
98.56,98.79
98.79,98.89
98.89,99.00
99.00,99.64
100.33,100.49
100.49,100.60
100.60,100.72
100.72,100.91
100.91,101.04
101.04,101.16
101.16,101.35
101.35,101.53
101.53,101.58
101.58,101.72
101.72,101.86
101.86,102.02
102.02,102.26
102.26,102.37
102.37,102.85
102.85,103.11
103.11,103.44
103.44,103.55
103.55,103.69
103.69,103.88
103.88,104.01
104.01,104.16
104.16,104.34
104.34,104.55
104.55,104.78
104.78,104.88
104.88,105.04
105.04,105.34
105.34,105.45
105.45,105.62
105.62,105.73
105.73,106.01
106.01,106.11
106.11,106.32
106.32,106.58
106.58,106.73
106.73,106.87
106.87,107.01
107.01,107.12
107.12,107.31
107.31,107.45
107.45,107.59
107.59,107.73
107.73,107.87
107.87,108.01
108.01,108.21
108.21,108.38
108.38,108.65
108.65,108.78
108.78,108.87
108.87,109.10
109.10,109.29
109.29,109.45
109.45,109.57
109.57,109.84
110.19,110.43
110.43,110.60
110.60,110.96
110.96,111.31
111.51,111.68
111.68,111.79
111.79,111.98
111.98,112.10
112.10,112.24
112.24,112.40
112.40,112.67
112.82,112.98
112.98,113.07
113.07,113.20
113.20,113.40
113.40,113.54
113.54,113.66
113.66,113.95
113.95,114.10
114.10,114.37
114.37,114.49
114.49,114.98
114.98,115.24
115.42,115.67
115.67,115.78
115.78,116.07
116.21,116.35
116.35,116.46
116.46,116.69
116.69,117.32
117.32,117.60
117.74,117.94
117.94,118.16
118.16,118.39
118.39,118.67
118.67,119.01
119.01,119.28
119.46,119.64
119.64,119.87
119.87,120.06
120.06,120.36
120.36,120.49
120.49,120.69
120.69,120.83
120.83,120.92
120.92,121.11
121.11,121.27
121.27,121.34
121.34,121.57
121.57,121.80
121.80,122.01
122.01,122.20
122.20,122.61
122.61,122.89
122.89,123.11
123.11,125.14
125.19,125.42
125.42,125.63
125.63,125.85
125.85,125.99
125.99,126.31
126.31,126.48
126.48,127.06
127.06,127.80
128.58,128.84
128.84,129.07
129.07,129.49
129.49,129.74
129.74,129.88
129.88,130.08
130.08,130.33
130.33,131.75
132.02,132.25
132.25,132.51
132.51,132.90
132.90,133.34
133.34,133.62
133.62,133.99
133.99,135.07
135.29,135.48
135.48,135.90
135.90,136.29
136.29,136.57
136.57,136.97
136.97,137.54
137.54,137.84
137.84,138.44
138.44,138.76
138.76,139.30
139.30,139.59
139.59,140.14
140.14,140.46
140.46,140.64
140.64,141.26
141.26,141.55
141.55,142.19
142.36,142.58
142.58,142.76
142.76,143.15
143.15,143.49
143.49,143.70
143.70,145.28
145.76,146.02
146.02,146.23
146.23,146.43
146.43,146.56
146.56,146.88
146.88,147.02
147.02,147.61
147.61,148.72
149.20,149.43
149.43,149.62
149.62,149.86
149.86,150.00
150.00,150.39
150.39,151.07
