word_start,word_end
24.73,25.22
25.22,25.47
25.47,26.53
27.10,27.35
27.35,27.56
27.56,28.26
28.26,30.04
30.58,30.85
30.85,31.11
31.11,32.06
32.06,32.27
32.27,32.74
32.74,32.96
32.96,33.61
33.88,34.15
34.15,34.62
34.62,34.94
34.94,36.25
38.33,38.59
38.59,39.54
39.54,39.69
39.69,40.25
40.25,40.43
40.43,41.16
41.16,41.90
42.56,43.02
43.02,43.53
43.53,43.99
43.99,44.19
44.19,45.44
45.87,46.09
46.09,46.30
46.30,46.76
46.76,47.04
47.04,47.25
47.25,47.71
47.71,47.95
47.95,48.69
48.94,49.12
49.12,49.59
49.59,50.29
53.38,53.65
53.82,54.53
54.53,55.24
55.24,56.29
56.63,57.09
57.09,57.22
57.22,58.74
59.01,59.23
59.23,59.38
59.38,59.89
59.89,60.25
60.25,62.08
62.99,63.15
63.16,63.60
63.60,63.98
63.98,64.58
64.58,64.83
64.83,65.09
65.09,67.18
68.35,68.56
68.56,68.80
68.80,69.54
69.54,70.20
70.20,70.99
70.99,71.63
71.63,72.32
72.32,73.62
73.97,74.20
74.20,74.39
74.39,74.83
74.83,75.25
75.25,77.11
77.92,78.10
78.10,78.58
78.58,78.98
78.98,79.59
79.59,79.83
79.83,80.07
80.07,82.11
83.01,83.32
83.32,83.81
83.81,84.27
84.27,84.72
84.72,85.19
85.19,85.66
85.66,86.63
86.85,89.62
90.13,90.58
90.58,90.88
90.88,91.83
91.83,92.25
92.25,92.71
92.71,93.11
93.11,93.69
93.94,94.17
94.36,94.83
94.83,95.08
95.08,97.22
98.09,98.34
98.34,98.80
98.80,99.29
99.29,99.74
99.74,100.21
100.21,100.68
100.68,101.65
101.87,104.64
105.15,105.60
105.60,105.90
105.90,106.85
106.85,107.27
107.27,107.73
107.73,108.13
108.13,108.71
108.96,109.19
109.38,109.85
109.85,110.10
110.10,112.24
128.07,128.29
128.29,128.80
128.80,129.24
129.24,129.69
129.69,130.16
130.16,130.63
130.63,131.60
131.82,134.59
135.10,135.55
135.55,135.85
135.85,136.80
136.80,137.22
137.22,137.68
137.68,138.08
138.08,138.66
138.91,139.14
139.33,139.80
139.80,140.05
140.05,142.19
175.01,175.18
175.18,175.69
175.69,176.13
176.13,176.58
176.58,177.05
177.05,177.52
177.52,178.49
178.71,181.48
181.99,182.44
182.44,182.74
182.74,183.69
183.69,184.11
184.11,184.57
184.57,184.97
184.97,185.55
185.80,186.03
186.22,186.69
186.69,186.94
186.94,189.08
190.00,190.18
190.18,190.69
190.69,191.13
191.13,191.58
191.58,192.05
192.05,192.52
192.52,193.49
193.71,196.48
196.99,197.44
197.44,197.74
197.74,198.69
198.69,199.11
199.11,199.57
199.57,199.97
199.97,200.55
200.80,201.03
201.22,201.69
201.69,201.94
201.94,204.08
