word_start,word_end
27.81,28.06
28.06,28.35
28.35,28.98
28.98,29.20
29.20,29.54
29.54,31.10
32.37,32.62
32.62,33.02
33.02,33.14
33.14,33.59
33.59,33.80
33.80,34.17
34.17,34.34
34.34,34.86
35.01,35.37
35.37,36.04
36.04,36.36
36.36,36.87
36.94,37.24
37.24,37.52
37.52,37.66
37.66,38.14
38.14,38.37
38.37,38.66
38.66,39.65
39.84,41.09
41.61,41.82
41.82,42.10
42.10,42.35
42.35,42.98
42.98,43.26
43.26,43.50
43.50,44.26
44.26,44.95
45.25,45.48
45.48,46.06
46.39,48.09
48.67,48.95
48.95,49.81
49.81,50.08
50.08,50.68
50.97,52.44
52.92,53.38
53.38,53.80
53.80,55.22
55.22,56.10
56.10,57.19
57.44,57.77
57.77,58.11
58.11,58.22
58.22,58.73
58.93,59.21
59.21,59.44
59.44,60.13
60.13,60.50
60.63,60.89
60.89,61.20
61.20,61.89
62.04,62.88
62.93,63.22
63.22,63.47
63.47,64.35
64.35,65.25
65.25,66.41
66.62,66.94
66.94,67.26
67.26,67.39
67.39,67.86
68.06,68.33
68.33,68.66
68.66,69.23
69.23,69.65
69.78,70.13
70.13,70.38
70.38,72.13
80.36,80.64
80.64,81.08
81.08,81.60
81.60,81.83
81.83,82.10
82.10,83.61
84.85,85.25
85.25,85.54
85.54,86.45
86.45,86.68
86.68,86.82
86.82,87.52
87.64,88.14
88.14,88.54
88.54,88.95
88.95,89.52
89.52,89.74
89.74,90.24
90.24,90.70
90.70,90.95
90.95,91.22
91.22,91.36
91.36,92.04
92.41,93.57
93.87,94.10
94.10,94.38
94.38,94.92
94.92,95.25
95.25,95.53
95.53,95.83
95.83,96.05
96.05,96.55
96.55,96.91
96.91,97.52
98.94,100.59
100.96,101.29
101.29,101.52
101.52,101.71
101.71,102.40
102.40,103.19
103.49,103.84
103.84,104.16
104.16,104.54
104.54,104.90
104.90,106.47
107.72,108.20
108.20,108.64
108.64,110.05
110.05,110.93
110.93,112.06
112.29,112.66
112.66,113.01
113.01,113.13
113.13,113.58
113.80,114.10
114.10,114.30
114.30,114.98
114.98,115.35
115.52,115.82
115.82,116.06
116.06,116.78
116.96,117.82
117.82,118.10
118.10,118.35
118.35,119.27
119.27,120.06
120.06,121.26
121.46,121.81
121.81,122.14
122.14,122.24
122.24,122.81
122.99,123.22
123.22,123.51
123.51,124.08
124.08,124.53
124.64,124.99
124.99,125.25
125.25,127.51
165.25,166.91
167.20,167.58
167.58,167.79
167.79,167.99
167.99,168.67
168.67,169.34
169.77,170.08
170.08,170.43
170.43,170.80
170.80,171.20
171.20,174.00
174.08,174.63
174.63,174.98
174.98,176.32
176.32,177.24
177.24,178.36
178.60,178.93
178.93,179.28
179.28,179.40
179.40,179.94
180.07,180.37
180.37,180.63
180.63,181.30
181.30,181.67
181.81,182.11
182.11,182.35
182.35,183.11
183.23,184.06
184.11,184.39
184.39,184.64
184.64,185.54
185.54,186.38
186.38,187.46
187.74,188.08
188.08,188.43
188.43,188.52
188.52,189.02
189.22,189.50
189.50,189.80
189.80,190.33
190.33,190.77
190.93,191.26
191.26,191.50
191.50,193.24
193.24,193.84
194.64,195.53
195.53,196.76
200.08,200.41
200.41,200.66
200.66,201.32
203.76,204.66
204.66,205.82
206.05,206.40
206.40,206.75
206.75,206.87
206.87,207.38
207.52,207.76
207.76,208.07
208.07,208.63
208.63,209.02
209.23,209.58
209.58,209.79
209.79,215.19
215.67,216.20
216.20,216.64
