word_start,word_end
15.79,17.95
18.76,18.96
18.96,19.34
19.34,19.97
19.97,21.71
23.21,23.73
23.73,26.05
26.77,26.96
27.10,27.47
27.47,27.65
27.65,30.24
31.46,32.03
32.03,34.45
34.94,35.29
35.29,38.31
39.97,41.63
42.75,45.72
47.30,50.17
50.91,51.48
51.48,54.07
56.01,58.65
59.00,61.97
62.99,63.27
63.27,63.65
63.65,65.52
79.92,80.28
80.28,82.45
82.98,83.31
83.31,83.61
83.78,85.63
87.26,87.51
87.51,88.02
88.02,90.13
91.01,91.34
91.34,91.70
91.70,93.42
95.40,95.73
95.73,98.43
98.96,99.17
99.17,99.75
99.75,102.04
103.80,103.96
103.96,104.39
104.51,105.65
106.50,106.83
106.83,106.99
106.99,107.75
107.75,110.06
111.87,112.23
112.23,114.57
114.97,115.26
115.26,115.48
115.48,118.88
119.82,119.97
119.97,122.07
123.27,126.30
126.79,126.84
126.84,127.72
127.72,130.67
160.03,162.68
162.86,166.77
167.97,170.32
170.74,170.78
170.78,171.65
171.65,174.91
175.78,178.62
179.00,182.41
183.81,186.36
186.88,187.66
187.66,191.24
