word_start,word_end
7.08,7.36
7.36,7.87
7.87,8.17
8.17,9.26
9.26,9.72
9.72,10.04
10.22,11.38
11.87,12.88
12.88,13.14
13.14,13.52
13.52,13.93
13.93,14.53
14.79,15.06
15.06,15.93
15.93,16.45
16.45,17.46
17.46,17.91
17.91,18.41
18.41,18.99
19.55,20.48
20.48,20.83
20.83,21.32
21.32,22.35
23.17,23.66
23.66,24.08
24.08,24.40
24.40,24.64
24.64,25.15
25.15,25.38
25.38,25.50
25.50,26.05
26.05,26.41
26.41,27.28
27.54,28.21
28.21,28.95
28.95,30.08
30.83,31.23
31.23,31.74
31.74,32.06
32.06,32.28
32.28,32.82
32.82,33.11
33.20,33.73
33.73,33.98
34.27,34.78
34.88,35.20
35.20,36.47
69.26,69.51
69.51,69.74
69.74,70.26
70.26,70.57
70.76,71.19
71.19,71.63
71.63,72.10
72.36,72.60
72.60,73.11
73.11,73.58
73.58,75.04
75.04,75.50
75.50,76.45
76.93,77.19
77.19,77.44
77.44,77.87
77.95,78.34
78.34,78.89
78.89,79.82
80.07,80.29
80.29,80.76
80.76,81.32
81.32,82.28
82.28,82.72
82.72,83.20
83.20,84.05
86.49,87.05
87.05,87.52
87.52,88.03
88.03,88.49
88.49,88.98
88.98,91.27
94.26,94.71
94.71,95.20
95.20,95.68
95.68,96.15
96.15,96.67
96.67,98.94
137.63,137.93
137.93,138.42
138.42,138.75
138.75,139.79
139.79,140.31
140.31,140.76
140.76,141.93
142.45,143.43
143.43,143.68
143.68,144.09
144.09,144.53
144.53,145.09
145.33,145.65
145.65,146.52
146.52,147.03
147.03,148.01
148.01,148.51
148.51,148.99
148.99,149.56
150.12,151.09
151.09,151.37
151.37,151.88
151.88,152.86
153.74,154.26
154.26,154.66
154.66,154.95
154.95,155.19
155.19,155.69
155.69,155.92
155.92,156.06
156.06,156.59
156.59,156.97
156.97,157.83
158.08,158.80
158.80,159.50
159.50,160.64
161.40,161.82
161.82,162.29
162.29,162.61
162.61,162.83
162.83,163.37
163.37,163.69
163.79,164.28
164.28,164.56
164.81,165.46
165.46,165.72
165.72,167.06
169.04,169.33
169.33,169.55
169.55,170.11
170.11,170.37
170.55,171.04
171.04,171.48
171.48,171.94
172.21,172.45
172.45,172.94
172.94,173.43
173.43,174.87
174.87,175.33
175.33,176.30
176.75,177.03
177.03,177.28
177.28,177.71
177.76,178.10
178.10,178.75
178.75,179.70
179.89,180.14
180.14,180.60
180.60,181.16
181.16,182.11
182.11,182.61
182.61,183.04
183.04,184.01
186.36,186.87
186.87,187.36
187.36,187.87
187.87,188.31
188.31,188.80
188.80,191.16
194.08,194.55
194.55,195.06
195.06,195.52
195.52,195.98
195.98,196.48
196.48,198.82
