word_start,word_end
22.44,22.98
22.98,24.38
25.10,25.26
25.26,27.14
27.78,28.00
28.00,28.47
28.47,30.51
30.86,31.62
31.62,33.16
33.46,36.08
36.18,36.32
36.32,38.19
38.93,41.89
41.89,42.38
42.38,44.01
44.46,44.65
44.65,44.95
44.95,45.19
45.19,45.86
47.20,47.34
47.34,47.69
47.69,47.92
47.92,49.67
49.67,50.10
50.10,50.48
50.48,54.20
55.73,56.70
56.70,56.83
56.83,57.93
58.28,58.51
58.51,59.44
59.44,59.67
59.67,60.60
61.13,61.59
61.59,62.78
63.86,63.99
63.99,64.33
64.33,64.53
64.53,65.58
65.92,66.27
66.36,66.46
66.46,69.19
70.87,71.27
71.27,71.63
71.63,72.62
94.45,94.99
94.99,96.79
97.08,97.19
97.19,99.47
99.83,100.02
100.02,100.47
100.47,102.47
102.47,102.70
102.70,103.04
103.04,105.50
105.50,107.97
108.16,108.38
108.38,109.87
110.80,110.94
110.94,111.55
111.55,113.97
113.97,114.36
114.36,114.58
114.58,116.07
116.19,116.47
116.47,116.65
116.65,117.25
117.25,118.26
119.16,119.30
119.30,119.36
119.36,121.27
121.27,121.76
121.76,121.89
121.89,124.01
124.01,124.46
124.46,124.73
124.73,126.26
127.50,127.75
127.75,128.20
128.20,128.91
128.91,129.81
130.38,131.78
131.78,132.85
133.03,135.38
135.79,135.96
135.96,137.69
138.00,138.20
138.38,140.08
140.08,141.36
188.54,188.73
188.73,189.01
189.01,189.18
189.18,190.23
191.26,191.44
191.44,191.70
191.70,191.85
191.85,193.15
193.28,193.89
194.20,194.69
194.69,196.16
199.46,200.46
200.46,201.67
202.50,203.93
205.31,205.58
205.63,205.98
205.98,206.41
206.41,207.18
207.94,208.32
208.32,208.65
208.65,208.93
208.93,209.65
209.87,210.28
210.28,210.47
210.47,212.58
214.35,214.71
214.71,214.92
214.92,215.09
215.09,216.74
