word_start,word_end
0.45,0.58
0.58,0.77
0.77,0.96
0.96,1.22
1.22,1.50
1.50,1.68
1.68,1.94
1.94,2.16
2.16,2.70
3.27,3.51
3.51,3.64
3.64,3.83
3.83,3.99
3.99,4.22
4.22,4.33
4.33,4.74
4.74,5.73
5.94,6.08
6.08,6.41
6.41,6.78
6.78,7.12
7.12,7.34
7.34,7.60
7.60,8.64
8.72,8.84
8.84,9.11
9.11,9.23
9.23,9.55
9.55,9.76
9.76,9.91
9.91,10.25
10.25,11.25
11.41,11.62
11.62,11.84
11.84,11.95
11.95,12.26
12.26,12.67
12.67,12.98
12.98,13.16
13.16,14.08
14.34,14.58
14.58,14.76
14.76,15.03
15.03,15.17
15.17,15.32
15.32,15.48
15.48,15.99
15.99,16.85
17.09,17.17
17.17,17.33
17.33,17.52
17.52,17.91
17.91,18.15
18.15,18.31
18.31,18.77
18.77,19.34
19.81,19.94
19.94,20.24
20.24,20.64
20.64,20.85
20.85,21.04
21.04,21.25
21.25,21.55
21.55,22.38
33.52,36.39
36.66,38.04
38.04,38.54
38.68,39.47
39.47,39.93
39.93,41.22
41.56,41.89
41.89,42.42
42.42,42.84
42.84,45.93
47.65,48.45
48.45,49.10
49.10,49.79
49.79,50.59
50.59,51.25
51.25,52.21
52.59,55.71
56.01,56.18
56.18,56.34
56.34,56.69
56.69,56.89
56.89,57.05
57.05,57.39
57.39,57.59
57.59,58.38
58.63,58.82
58.82,59.05
59.05,59.20
59.20,59.46
59.46,59.58
59.58,59.68
59.68,59.88
59.88,60.07
60.07,60.37
60.37,61.30
61.47,61.60
61.60,61.77
61.77,61.90
61.90,62.26
62.26,62.66
62.66,63.86
64.28,64.55
64.55,64.63
64.63,65.02
65.02,65.25
65.25,65.41
65.41,65.68
65.68,65.94
65.94,66.74
67.04,67.20
67.20,67.36
67.36,67.49
67.49,67.66
67.66,67.89
67.89,68.06
68.06,68.20
68.20,68.54
68.54,69.36
69.81,69.92
69.92,70.17
70.17,70.48
70.48,70.85
70.85,70.99
70.99,71.24
71.24,71.42
71.42,72.38
72.56,72.70
72.70,72.92
72.92,73.09
73.09,73.40
73.40,73.60
73.60,73.76
73.76,74.06
74.06,74.30
74.30,74.89
75.34,75.50
75.50,75.80
75.80,76.13
76.13,76.33
76.33,76.51
76.51,76.72
76.72,77.06
77.06,78.06
89.04,92.05
92.12,93.55
93.55,93.96
94.27,94.94
94.94,95.47
95.47,96.63
97.05,97.31
97.31,97.88
97.88,98.30
98.30,101.25
102.99,103.84
103.84,104.55
104.55,105.20
105.20,106.01
106.01,106.70
106.70,107.81
108.11,111.22
215.04,218.16
218.16,219.54
219.54,219.98
220.14,220.93
220.93,221.49
221.49,222.52
223.07,223.38
223.38,223.92
223.92,224.39
224.39,227.69
229.21,229.93
229.93,230.62
230.62,231.24
231.24,232.09
232.09,232.74
232.74,233.88
234.41,239.92
