word_start,word_end
9.53,10.29
10.29,10.68
10.68,11.45
11.45,11.84
11.84,12.48
12.48,12.96
12.96,13.80
14.28,15.09
15.09,15.49
15.49,16.32
16.32,16.61
16.61,17.51
17.51,17.78
17.78,18.67
18.99,19.75
19.75,20.14
20.14,21.41
21.41,25.19
28.61,29.40
29.40,29.67
29.67,30.53
30.53,30.91
30.91,32.83
33.20,34.36
34.36,35.27
35.27,35.71
35.71,36.44
36.44,36.88
36.88,37.63
38.10,39.31
39.31,40.41
40.41,45.04
47.41,49.27
49.27,49.67
49.67,50.48
50.48,50.85
50.85,51.14
51.14,51.64
51.64,52.08
52.08,52.41
52.41,53.48
53.93,54.45
54.45,54.59
54.59,56.80
57.19,58.79
58.79,59.00
59.00,59.39
59.39,60.00
60.00,60.77
60.77,61.62
61.62,61.97
61.97,62.85
63.18,65.50
88.10,88.91
88.91,89.33
89.33,90.12
90.12,90.36
90.36,90.95
90.95,91.16
91.16,91.72
91.72,92.50
92.77,93.35
93.35,93.60
93.60,94.02
94.02,94.53
94.53,94.94
94.94,95.24
95.24,95.76
95.76,96.15
96.15,96.44
96.44,97.34
97.68,98.88
98.88,100.05
100.05,104.35
107.00,108.04
108.04,108.29
108.29,109.18
109.18,109.85
109.85,113.11
133.29,135.07
135.07,135.48
135.48,136.28
136.28,136.60
136.60,136.91
136.91,137.44
137.44,137.85
137.85,138.23
138.23,139.37
139.72,140.20
140.20,140.36
140.36,142.52
142.99,144.64
144.64,144.84
144.84,145.19
145.19,145.80
145.80,146.56
146.56,147.37
147.37,147.77
147.77,148.70
148.95,151.79
152.40,154.15
154.15,154.53
154.53,155.36
155.36,155.68
155.68,156.01
156.01,156.55
156.55,156.96
156.96,157.34
157.34,158.54
158.82,159.31
159.31,159.45
159.45,161.59
162.00,163.68
163.68,163.86
163.86,164.24
164.24,164.86
164.86,165.65
165.65,166.52
166.52,166.88
166.88,167.78
168.07,171.18
