word_start,word_end
5.78,6.05
6.05,7.80
11.34,11.54
11.54,12.49
12.49,12.93
12.93,13.19
13.19,13.44
13.44,13.89
13.89,14.33
14.33,14.77
15.02,15.28
15.28,15.74
15.74,16.18
16.18,16.78
16.88,17.06
17.06,18.35
18.50,18.71
18.71,18.96
18.96,19.30
19.30,19.90
19.90,20.83
20.83,21.55
21.97,22.16
22.16,22.43
22.43,22.64
22.64,23.13
23.13,23.97
24.24,24.47
24.47,25.74
25.89,26.12
26.12,26.35
26.35,26.70
26.70,27.28
27.28,28.19
28.19,28.78
29.38,29.58
29.58,29.81
29.81,30.05
30.05,30.51
30.51,31.55
31.90,32.14
32.14,32.34
32.34,32.53
32.53,32.79
32.79,33.13
33.13,33.48
33.48,33.67
33.67,33.95
33.95,34.16
34.16,34.64
34.64,35.02
35.02,35.29
35.29,35.49
35.49,36.50
36.87,37.07
37.07,37.36
37.36,37.86
37.86,39.08
39.43,39.61
39.61,39.91
39.91,40.12
40.12,40.59
40.59,40.84
40.84,41.08
41.08,41.42
41.42,41.75
41.75,42.00
42.00,42.91
42.91,43.35
44.05,44.27
44.27,44.77
44.77,45.09
45.09,45.52
45.52,46.49
47.21,47.44
47.44,47.74
47.74,47.97
48.16,48.39
48.39,48.65
48.65,48.83
49.09,49.30
49.30,49.55
49.55,49.74
50.02,50.14
50.14,50.60
51.59,51.83
51.83,52.08
52.08,52.34
52.34,52.52
52.52,52.73
52.73,52.96
52.96,53.45
53.45,53.94
54.13,54.29
54.29,54.60
54.60,54.80
54.80,55.12
55.12,55.29
55.52,55.75
55.75,55.98
55.98,56.18
56.45,56.66
56.66,56.91
56.91,57.12
57.35,57.58
57.58,58.49
58.93,59.16
59.16,59.40
59.40,59.69
59.69,60.09
60.09,60.32
60.32,60.91
61.28,62.21
62.21,62.58
62.62,62.88
62.88,63.11
63.11,63.46
63.46,64.07
64.07,64.97
64.97,65.66
66.15,66.34
66.34,66.59
66.59,66.83
66.83,67.23
67.23,67.76
67.76,68.21
68.70,69.98
70.01,70.26
70.26,70.50
70.50,70.84
70.84,71.48
71.48,72.38
72.38,73.02
73.54,74.00
74.00,74.19
74.19,74.67
74.67,75.71
76.07,76.47
76.47,76.72
76.72,77.00
77.00,77.41
77.41,77.65
77.65,77.93
77.93,79.26
79.78,80.06
80.06,80.43
80.43,80.62
80.62,81.13
81.13,81.35
81.35,81.64
81.64,82.96
83.20,83.38
83.38,84.59
84.85,85.05
85.05,85.29
85.29,85.63
85.63,86.24
86.24,87.14
87.14,87.78
88.30,88.54
88.54,88.77
88.77,88.98
88.98,89.43
89.43,89.72
89.72,91.62
91.62,92.17
96.06,96.32
96.32,96.78
96.78,97.24
97.24,98.10
103.40,104.16
104.16,104.60
104.83,105.00
105.00,105.28
105.28,105.45
105.45,105.88
105.88,106.21
106.21,106.44
106.44,106.90
106.90,107.11
107.11,107.34
107.34,107.67
107.67,108.04
108.04,108.23
108.23,108.75
108.95,109.18
109.18,109.50
109.50,109.85
109.85,110.04
110.04,110.53
110.53,110.80
110.80,110.99
110.99,111.34
111.34,111.81
111.81,112.34
112.62,112.82
112.82,113.06
113.06,113.31
113.31,114.22
114.22,114.45
114.45,114.68
114.68,115.39
115.39,116.13
116.28,116.49
116.49,116.70
116.70,117.00
117.00,117.47
117.47,117.95
118.11,118.35
118.35,118.82
118.82,119.21
119.21,119.84
120.24,121.11
121.11,121.52
121.58,121.83
121.83,122.04
122.04,122.39
122.39,123.00
123.00,123.92
123.92,124.65
125.07,125.27
125.27,125.53
125.53,125.76
125.76,126.20
126.20,127.34
127.61,128.89
128.96,129.22
129.22,129.43
129.43,129.80
129.80,130.38
130.38,131.31
131.31,132.05
132.48,132.68
132.68,132.93
132.93,133.14
133.14,133.61
133.61,134.68
135.00,135.44
135.44,135.67
135.67,135.84
135.84,136.37
136.37,136.58
136.58,136.83
136.83,137.21
137.21,137.55
137.55,137.79
137.79,138.34
138.69,138.94
138.94,139.39
139.39,139.57
139.57,140.08
140.08,140.34
140.34,140.53
140.53,140.79
140.79,141.48
141.48,142.01
142.13,142.34
142.34,143.57
143.80,143.99
143.99,144.22
144.22,144.59
144.59,145.19
145.19,146.10
146.10,146.85
147.21,147.40
147.40,147.70
147.70,147.89
147.89,148.37
148.37,148.65
148.65,148.82
148.82,149.27
149.51,149.74
149.74,149.98
149.98,150.19
150.19,150.44
150.44,150.65
150.65,151.11
151.11,151.35
151.35,151.56
151.56,151.81
151.81,152.02
152.02,152.23
152.23,152.51
152.51,152.94
153.18,153.39
153.39,153.64
153.64,153.85
153.85,154.30
154.30,154.57
154.57,154.78
154.78,155.04
155.04,155.20
155.20,155.56
155.56,155.92
155.92,156.12
156.12,156.66
156.85,157.06
157.06,157.34
157.34,157.52
157.52,157.91
157.91,158.27
158.27,158.47
158.47,158.75
158.75,158.86
158.86,159.17
159.17,159.39
159.39,159.81
159.81,160.34
160.56,160.75
160.75,161.21
161.21,161.47
161.47,161.68
161.68,161.93
161.93,162.14
162.14,162.42
162.42,162.54
162.54,162.61
162.61,163.00
163.00,163.46
163.46,163.92
164.19,164.42
164.42,164.70
164.70,164.89
164.89,165.28
165.28,165.92
166.28,166.89
167.18,167.65
167.65,167.88
167.88,168.09
168.09,168.43
168.43,168.76
168.76,168.94
168.94,169.56
169.92,170.85
171.52,171.76
171.76,172.04
172.04,172.26
172.26,172.67
172.67,173.27
174.27,174.47
174.47,174.77
174.77,174.94
174.94,175.40
175.40,175.82
175.82,176.12
176.12,176.35
176.35,176.87
177.03,177.28
177.28,177.77
177.77,178.23
178.23,178.83
179.14,180.07
180.07,180.39
180.53,180.77
180.77,181.00
181.00,181.35
181.35,181.97
181.97,182.86
182.86,183.50
183.99,184.21
184.21,184.45
184.45,184.69
184.69,185.18
185.18,185.62
185.62,186.23
186.59,187.78
187.89,188.15
188.15,188.38
188.38,188.73
188.73,189.36
189.36,190.26
190.26,190.93
191.82,192.05
192.05,192.52
192.52,192.98
192.98,193.61
193.95,194.16
194.16,194.37
194.37,194.84
194.84,195.31
195.31,195.55
195.55,195.77
195.77,196.23
196.23,197.21
197.65,197.86
197.86,198.09
198.09,198.55
198.55,199.02
199.02,199.22
199.22,199.48
